Cod_Loc,IdProvincia,IdDepartamento,Categoria,Provincia,Localidad,Nombre,Domicilio,CP,Telefono,Mail,Web
6756010,6,6756,Salas de cine,Buenos Aires,Boulogne,Cinemark Soleil,Bernardo De Yrigoyen 2647,1609.0,,,https://www.cinemarkhoyts.com.ar
6112010,6,6112,Salas de cine,Buenos Aires,Bragado,Centro Cultural Florencio Constantino,Belgrano 1260,6640.0,,,
6840010,6,6840,Salas de cine,Buenos Aires,Caseros,Cine Teatro Paramount,Tres De Febrero 2561,1678.0,,,https://www.tresdefebrero.gov.ar/tema/cine-teatro-paramount/
6168010,6,6168,Salas de cine,Buenos Aires,Castelli,Cine Teatro Avenida,Av. 25 De Mayo 540,7114.0,,,Facebook: Cine Teatro Avenida
6210020,6,6210,Salas de cine,Buenos Aires,Chacabuco,Cine Teatro EspaÃ±ol,PueyrredÃ³n 29,6740.0,,,http://cinemachacabuco.com.ar/
6210020,6,6210,Salas de cine,Buenos Aires,Chacabuco,Teatro Italiano Espacio INCAA,Av. Alsina 29,6740.0,,,Facebook: Teatro Italiano - GalerÃ­a de Arte
6224010,6,6224,Salas de cine,Buenos Aires,Chivilcoy,Cine EspaÃ±ol Chivilcoy,Av. Soarez 86,6620.0,,,https://www.facebook.com/cinechivilcoy/
6224010,6,6224,Salas de cine,Buenos Aires,Chivilcoy,Metropol,Av. Ceballos 29,6620.0,,,https://www.facebook.com/CineMetropolChivilcoy/
6224010,6,6224,Salas de cine,Buenos Aires,Chivilcoy,Tu Cine Chivilcoy,Pellegrini 225,6620.0,,,http://chivilcoy.tucine.com.ar/
6840010,6,6840,Salas de cine,Buenos Aires,Ciudadela,Nuevo Ciudadela,Av. Maipu 3927,1702.0,,,
6175010,6,6175,Salas de cine,Buenos Aires,ColÃ³n,Cine Teatro Colon,Calle 48 Y 19,2720.0,,,http://cineteatrocolon.com.ar
6568010,6,6560,Salas de cine,Buenos Aires,El Palomar,Cine Teatro Helios,Boulevard San Martin 3076,1684.0,,,
6270010,6,6270,Salas de cine,Buenos Aires,Ezeiza,Canning Multiplex,Formosa 653,1804.0,,,https://www.multiplex.com.ar/
6274010,6,6274,Salas de cine,Buenos Aires,Florencio Varela,Cinemacenter Florencio Varela,Av. San Martin 554,1888.0,,,http://www.cinemacenter.com.ar/
6301010,6,6301,Salas de cine,Buenos Aires,General Belgrano,Cine Teatro EspaÃ±ol,Larrea 688,7223.0,,,
6315010,6,6315,Salas de cine,Buenos Aires,General Madariaga,Espacio INCAA Gral Madariaga,Dr. Carlos Madariaga 499,7163.0,,,
6427010,6,6427,Salas de cine,Buenos Aires,Gonzalez CatÃ¡n,CPM Catan,Ruta 3 Km 29 Bj Manuel De Rosas 14457,1759.0,,,https://cpmcines.com
6568010,6,6560,Salas de cine,Buenos Aires,Haedo,Showcase Cinemas Haedo,Dr. Luis Guemes 393,1706.0,,,https://www.todoshowcase.com/
6413050,6,6413,Salas de cine,Buenos Aires,JunÃ­n,Tu Cine Junin,Jorge Newbery 263,6000.0,,,http://www.tucine.com.ar
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cine Municipal Ecoselect,19 Y 51,1900.0,,,http://www.cultura.laplata.gov.ar
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cine Municipal Select,Calle 50 entre 6 y 7,1900.0,,,http://www.cultura.laplata.gov.ar/lugar/cine-municipal-select
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cinema 8,Calle 8 981,1900.0,,,http://www.cinemalaplata.com/
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cinema City,Calle 50 723,1900.0,,,http://www.cinemalaplata.com/
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cinema Paradiso,Calle 46 780,1900.0,,,http://www.cinemalaplata.com
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cinema Rocha,Calle 49 621,1900.0,,,http://www.cinemalaplata.com
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cinema San Martin,Calle 7 923,1900.0,,,http://www.cinemalaplata.com
